experiment	strain_type
SRX853975	PAO1
SRX853976	PAO1
SRX857126	PA14
SRX857127	PA14
SRX857128	PA14
SRX857129	PA14
SRX857130	PA14
SRX857131	PA14
SRX857132	PA14
SRX857133	PA14
SRX857134	PA14
SRX857135	PA14
SRX857136	PA14
SRX857137	PA14
SRX383855	PAO1
SRX383860	PAO1
SRX1017131	PAO1
SRX1017132	PAO1
SRX1017133	PAO1
SRX1017134	PAO1
SRX1352980	PAO1
SRX1352981	PAO1
SRX1352982	PAO1
SRX1074724	PA14
SRX1074735	PA14
SRX1074739	PA14
SRX1075198	PA14
SRX1075200	PA14
SRX157660	PAO1
SRX157659	PAO1
SRX157661	PAO1
SRX157683	PAO1
SRX156386	PAO1
SRX158075	PAO1
SRX352172	PA14
SRX352173	PA14
SRX352174	PA14
SRX352175	PA14
SRX352176	PA14
SRX352177	PA14
SRX352178	PA14
SRX352179	PA14
SRX1273291	PAO1
SRX1273292	PAO1
SRX1273293	PAO1
SRX1273294	PAO1
SRX1273295	PAO1
SRX804114	PA14
SRX804115	PA14
SRX804116	PA14
SRX804117	PA14
SRX804118	PA14
SRX804119	PA14
SRX105196	PA14
SRX105199	PA14
SRX105201	PA14
SRX105202	PA14
SRX105203	PA14
SRX761422	PAO1
SRX761423	PAO1
SRX743702	PAO1
SRX752782	PAO1
SRX475880	PA14
SRX475881	PA14
SRX475882	PA14
SRX475883	PA14
SRX475884	PA14
SRX475885	PA14
SRX475886	PA14
SRX475887	PA14
SRX475888	PA14
SRX475889	PA14
SRX475890	PA14
SRX475891	PA14
SRX475892	PA14
SRX475893	PA14
SRX480719	PAO1
SRX480720	PAO1
SRX480721	PAO1
SRX480722	PAO1
SRX470315	PA14
SRX470316	PA14
SRX470317	PA14
SRX470322	PA14
SRX470323	PA14
SRX470325	PA14
SRX470326	PA14
SRX470327	PA14
SRX470330	PA14
SRX470332	PA14
SRX470334	PA14
SRX470335	PA14
SRX470337	PA14
SRX470341	PA14
SRX470344	PA14
SRX470345	PA14
SRX470346	PA14
SRX470349	PA14
SRX470353	PA14
SRX470355	PA14
SRX470357	PA14
SRX470362	PA14
SRX470367	PA14
SRX470369	PA14
SRX470371	PA14
SRX470373	PA14
SRX470375	PA14
SRX470377	PA14
SRX470378	PA14
SRX470380	PA14
SRX470382	PA14
SRX470383	PA14
SRX470384	PA14
SRX470387	PA14
SRX470388	PA14
SRX470390	PA14
SRX470392	PA14
SRX470394	PA14
SRX474118	PA14
SRX474119	PA14
SRX474120	PA14
SRX474121	PA14
SRX474122	PA14
SRX474123	PA14
SRX474124	PA14
SRX474125	PA14
SRX474126	PA14
SRX474127	PA14
SRX474128	PA14
SRX474129	PA14
SRX474130	PA14
SRX474131	PA14
SRX474132	PA14
SRX474133	PA14
SRX474134	PA14
SRX474135	PA14
SRX474136	PA14
SRX474137	PA14
SRX474138	PA14
SRX474139	PA14
SRX474140	PA14
SRX474141	PA14
SRX474142	PA14
SRX474143	PA14
SRX474144	PA14
SRX474145	PA14
SRX474146	PA14
SRX474147	PA14
SRX474148	PA14
SRX474149	PA14
SRX474150	PA14
SRX474151	PA14
SRX474152	PA14
SRX474153	PA14
SRX474154	PA14
SRX474155	PA14
SRX474156	PA14
SRX474157	PA14
